OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
235597;5;3;15;0;2019;2;22;5;3;6;7;2;0;1;1;0;0;0;356548,2361;5643024,213;6,959017592;50,92100529;1
235598;5;3;15;0;2019;2;21;5;2;6;6;2;1;0;1;0;0;0;355321,3806;5644816,464;6,940863017;50,93680558;1
235653;5;3;15;0;2019;2;13;4;3;5;3;0;0;1;0;0;0;0;364634,1646;5639699,025;7,075223125;50,89307369;0
235654;5;3;15;0;2019;2;16;4;3;3;6;0;1;1;0;0;0;0;355713,9369;5649719,016;6,944502497;50,98096207;0
235655;5;3;15;0;2019;2;14;4;3;1;2;0;0;1;0;0;0;0;355172,6469;5654719,505;6,934801579;51,02576383;0
235656;5;3;15;0;2019;2;12;4;3;6;2;0;0;1;1;0;0;0;356889,8797;5650677,183;6,960866206;50,98986644;0
235657;5;3;15;0;2019;2;8;4;3;0;5;0;1;1;0;0;0;0;351197,214;5647028,599;6,881304321;50,95563538;0
235658;5;3;15;0;2019;2;17;4;3;0;1;0;0;0;0;1;0;0;356775,1551;5638450,446;6,964037988;50,87995738;0
235659;5;3;15;0;2019;2;8;4;3;2;6;0;0;1;0;0;0;0;355360,5055;5643168,111;6,942073505;50,92200197;0
235686;5;3;15;0;2019;2;23;5;3;3;7;2;0;1;0;0;0;1;359814,6936;5646252,393;7,004219252;50,95082027;1
235737;5;3;15;0;2019;2;19;3;3;5;2;1;1;1;0;0;0;0;357664,714;5645137,409;6,974066632;50,94027305;0
235738;5;3;15;0;2019;2;13;3;3;1;6;0;0;1;0;0;0;0;357352,9065;5646882,354;6,968947944;50,95587768;0
235739;5;3;15;0;2019;2;13;3;3;0;3;0;1;1;0;0;0;0;348050,3021;5647755,979;6,836227831;50,96135061;0
235740;5;3;15;0;2019;2;10;3;2;6;4;0;0;1;1;0;0;0;347861,7274;5645640,304;6,834428651;50,94228909;0
235741;5;3;15;0;2019;2;10;3;3;3;7;0;0;1;0;1;0;0;354740,2096;5646178,571;6,932054073;50,94890036;0
235742;5;3;15;0;2019;2;14;3;2;0;7;0;1;0;1;0;0;0;359766,6686;5639713,351;7,006050353;50,89204114;0
235743;5;3;15;0;2019;2;16;3;3;5;2;0;0;1;1;0;0;0;353016,0554;5642819,042;6,90888097;50,91827255;0
235744;5;3;15;0;2019;2;15;3;2;5;2;0;1;1;0;0;0;0;353012,551;5641346,03;6,909424487;50,90503422;0
235794;5;3;15;0;2019;2;19;3;3;2;6;2;0;1;0;0;0;0;361975,103;5646634,178;7,034812176;50,95477287;0
