OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
206537;5,20051E+18;5;3;15;0;2020;5;8;5;3;6;4;0;0;1;1;0;0;0;365568,2196;5636321,026;7,089738704;50,86293146;0
206541;5,20051E+18;5;3;15;0;2020;5;11;6;2;0;3;0;1;1;0;0;0;0;357062,3128;5642046,703;6,966709778;50,91234803;0
206544;5,20051E+18;5;3;15;0;2020;5;22;6;3;1;5;2;1;1;0;0;0;0;353751,6667;5647007,283;6,917657985;50,95609774;0
206548;5,20051E+18;5;3;15;0;2020;5;15;5;3;1;1;0;1;1;0;0;0;0;355260,5522;5642339,012;6,940981337;50,91452595;0
206562;5,20051E+18;5;3;15;0;2020;5;14;5;3;5;2;0;1;1;0;0;0;0;355005,4247;5644604,153;6,936453772;50,93481823;0
206566;5,20051E+18;5;3;15;0;2020;5;16;7;3;9;1;0;0;0;0;1;0;0;359588,0691;5636161,45;7,0048765;50,860076;0
206585;5,20051E+18;5;3;15;0;2020;5;10;5;3;5;3;0;0;1;0;0;0;1;360098,797;5647248,205;7,007878601;50,95983879;0
206586;5,20051E+18;5;3;15;0;2020;5;21;4;2;5;3;1;1;0;0;0;0;1;367702,6868;5637641,855;7,119573944;50,87529524;0
206591;5,20051E+18;5;3;15;0;2020;5;11;4;3;0;7;0;0;0;0;1;0;0;363989,8176;5643295,892;7,064726197;50,92524919;0
206594;5,20051E+18;5;3;15;0;2020;5;19;6;3;0;4;0;1;0;1;0;0;0;354369,2993;5646880,169;6,92649677;50,95511181;0
206598;5,20051E+18;5;3;15;0;2020;5;13;5;3;1;5;0;1;1;0;0;0;0;354087,6718;5641827,898;6,924512338;50,90963737;0
206599;5,20051E+18;5;3;15;0;2020;5;10;4;3;5;2;0;1;0;0;0;1;0;363967,7659;5645278,733;7,063672478;50,9430647;0
206607;5,20051E+18;5;3;15;0;2020;5;15;6;3;3;6;0;0;1;0;1;0;0;354300,4608;5644197,029;6,926590566;50,93098186;0
206617;5,20051E+18;5;3;15;0;2020;5;17;7;3;0;7;0;0;1;0;1;0;0;356458,7806;5644376,842;6,957213169;50,93313899;0
206620;5,20051E+18;5;3;15;0;2020;5;14;7;3;4;6;0;1;0;0;0;0;0;361180,7572;5648750,893;7,022701846;50,97360541;0
206632;5,20051E+18;5;3;15;0;2020;5;16;4;3;0;1;0;1;0;0;0;0;0;357305,891;5645162,111;6,968953066;50,94040635;0
206636;5,20051E+18;5;3;15;0;2020;5;19;6;3;0;7;0;1;0;0;0;0;0;351064,4552;5645323,602;6,880112772;50,94027927;0
206644;5,20051E+18;5;3;15;0;2020;5;18;5;3;4;6;0;1;0;0;0;0;0;365788,2826;5634399,831;7,093568245;50,84571539;0
206645;5,20051E+18;5;3;15;0;2020;5;17;4;3;8;1;0;1;0;0;0;0;0;362087,2721;5649894,167;7,03517206;50,98409809;0
206649;5,20051E+18;5;3;15;0;2020;5;17;6;3;3;6;0;1;0;0;0;0;0;355250,099;5643011,841;6,940565751;50,92056992;0
206655;5,20051E+18;5;3;15;0;2020;5;18;5;3;5;2;0;1;1;0;0;0;0;354348,609;5645495,487;6,926756251;50,94266289;0
206656;5,20051E+18;5;3;15;0;2020;5;18;4;3;5;3;0;1;1;0;0;0;0;352870,9524;5653841,658;6,902359573;51,01729065;0
206670;5,20051E+18;5;3;15;0;2020;5;17;5;2;0;1;0;1;0;0;0;0;0;355230,0593;5643306,775;6,940163755;50,9232154;0
206674;5,20051E+18;5;3;15;0;2020;5;13;7;3;5;3;0;1;1;0;0;0;0;352689,286;5642959,195;6,904178789;50,91944872;0
206695;5,20051E+18;5;3;15;0;2020;5;18;5;3;1;5;0;1;1;0;0;0;0;362744,4687;5645718,765;7,046104611;50,9467295;0
206696;5,20051E+18;5;3;15;0;2020;5;16;4;3;0;3;0;1;0;0;1;0;0;356739,7745;5648677,82;6,959516898;50,97186118;0
206700;5,20051E+18;5;3;15;0;2020;5;16;4;3;5;3;0;1;1;0;0;0;0;354201,9254;5641503,584;6,92626592;50,90675171;0
206703;5,20051E+18;5;3;15;0;2020;5;16;6;3;2;6;0;0;1;0;0;0;0;353536,1493;5645674,737;6,915127554;50,94406793;0
206707;5,20051E+18;5;3;15;0;2020;5;12;5;3;5;2;0;1;1;0;0;0;0;355568,3363;5641869,232;6,945542716;50,91038122;0
206708;5,20051E+18;5;3;15;0;2020;5;7;4;3;5;3;0;0;1;0;0;0;0;356862,8763;5645763,57;6,96241529;50,9457018;0
206713;5,20051E+18;5;3;15;0;2020;5;18;3;3;4;2;0;1;1;0;0;0;0;359080,8963;5644563,716;6,994432513;50,93546507;0
206715;5,20051E+18;5;3;15;0;2020;5;22;6;2;1;1;2;0;1;0;0;0;0;353226,3481;5644291,221;6,911278059;50,93155601;0
206716;5,20051E+18;5;3;15;0;2020;5;11;3;3;0;1;0;1;1;0;0;0;0;359875,9495;5646276,424;7,005081523;50,95105113;0
206717;5,20051E+18;5;3;15;0;2020;5;18;3;3;6;4;0;0;1;1;0;0;0;359387,6319;5647492,93;6,997664003;50,96186504;0
206719;5,20051E+18;5;3;15;0;2020;5;18;3;3;0;1;0;1;0;0;0;0;0;359246,517;5646086,358;6,996199739;50,94918963;0
206724;5,20051E+18;5;3;15;0;2020;5;20;7;3;2;6;1;0;1;0;0;0;0;356312,4022;5643710,887;6,95539393;50,92711768;0
206725;5,20051E+18;5;3;15;0;2020;5;19;3;3;0;2;0;1;1;0;0;0;0;356557,8217;5648940,417;6,956823483;50,97417581;0
206727;5,20051E+18;5;3;15;0;2020;5;0;3;3;0;1;2;0;1;0;0;0;0;352579,761;5649667,061;6,899905879;50,97970126;0
206729;5,20051E+18;5;3;15;0;2020;5;12;3;3;0;1;0;1;0;0;0;0;0;354838,8729;5642470,057;6,934934677;50,91559771;0
