OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
157618;5,21E+18;5;3;15;0;2021;1;13;3;3;0;1;0;1;1;0;0;0;0;0;353968,9655;5647213,738;6,920666957;50,95800818
157619;5,21E+18;5;3;15;0;2021;2;10;4;3;6;4;0;0;0;1;1;0;0;0;352607,003;5647604,681;6,901129509;50,96117465
157621;5,21E+18;5;3;15;0;2021;11;7;3;3;5;2;0;0;0;1;0;0;0;0;355303,347;5654611,641;6,936707081;51,02482742
157624;5,21E+18;5;3;15;0;2021;9;7;4;3;3;7;0;0;0;1;0;1;0;0;353130,4465;5645814,651;6,909300172;50,94522207
157626;5,21E+18;5;3;15;0;2021;10;7;7;3;0;1;2;1;0;0;0;0;0;1;355725,4834;5642431,857;6,947554046;50,91547674
157628;5,21E+18;5;3;15;0;2021;11;7;3;3;6;2;0;1;0;1;1;0;0;0;355266,3142;5641785,482;6,941282802;50,90955291
157629;5,21E+18;5;3;15;0;2021;10;18;6;3;5;3;2;0;1;0;0;0;0;1;352476,7267;5648019,325;6,899107592;50,96486751
157630;5,21E+18;5;3;15;0;2021;7;10;1;3;4;6;0;0;0;1;0;0;0;1;354074,4327;5644154,515;6,9233933;50,93054266
157631;5,21E+18;5;3;15;0;2021;4;13;3;3;6;4;0;1;0;1;1;0;0;0;355008,5186;5647044,918;6,935526074;50,95675354
157635;5,21E+18;5;3;15;0;2021;6;0;1;3;0;1;2;0;1;0;0;0;0;0;355530,0298;5641343,849;6,945206164;50,90565008
157638;5,21E+18;5;3;15;0;2021;11;8;3;3;6;4;0;0;1;0;1;0;0;0;355211,9917;5645862,266;6,938891558;50,94617651
157640;5,21E+18;5;3;15;0;2021;9;13;4;3;0;5;0;0;0;1;0;0;0;1;353901,0434;5643221,479;6,921301478;50,92211387
157642;5,21E+18;5;3;15;0;2021;4;13;6;3;0;6;0;0;0;1;0;0;0;0;354909,798;5647918,015;6,933773286;50,96457497
157643;5,21E+18;5;3;15;0;2021;2;2;7;3;0;1;2;0;0;0;0;0;0;1;351548,315;5645784,823;6,886806854;50,94454879
157644;5,21E+18;5;3;15;0;2021;5;14;5;3;5;3;0;0;1;0;0;0;0;1;355870,3501;5642776,012;6,949477529;50,91860582
157645;5,21E+18;5;3;15;0;2021;9;16;6;3;5;3;0;0;0;1;0;0;0;0;352953,098;5647474,526;6,90610696;50,96009343
157646;5,21E+18;5;3;15;0;2021;3;11;6;3;0;6;0;0;0;1;0;0;0;1;354028,8024;5646679,359;6,921732674;50,95322106
157650;5,21E+18;5;3;15;0;2021;12;6;4;3;5;3;2;1;1;1;0;0;0;0;353641,2448;5647636,852;6,915833675;50,96172739
157653;5,21E+18;5;3;15;0;2021;12;16;5;3;5;3;0;1;1;1;0;0;0;0;352567,7664;5642869,557;6,902487372;50,91861215
157657;5,21E+18;5;3;15;0;2021;6;18;4;3;1;5;0;0;1;1;0;0;0;0;353905,429;5646756,064;6,919946597;50,95387912
157658;5,21E+18;5;3;15;0;2021;6;9;2;3;0;7;0;0;1;1;0;0;0;0;352675,1273;5652184,779;6,900242362;51,00235107
157659;5,21E+18;5;3;15;0;2021;11;19;6;3;5;3;2;1;1;1;0;0;0;0;354209,2784;5642698,334;6,925893083;50,91749047
157660;5,21E+18;5;3;15;0;2021;10;10;3;3;4;2;0;0;1;1;0;0;0;0;355037,9076;5645972,651;6,936371187;50,94712476
157664;5,21E+18;5;3;15;0;2021;10;6;7;2;6;4;2;0;0;0;1;0;0;1;353130,1951;5642918,174;6,910463749;50,91919247
157665;5,21E+18;5;3;15;0;2021;6;8;4;3;0;3;0;0;1;1;0;0;0;0;355504,383;5643362,279;6,944042244;50,92378297
157667;5,21E+18;5;3;15;0;2021;10;10;5;3;0;7;0;1;0;1;0;0;0;0;355805,7056;5647995,725;6,946492297;50,96549826
157669;5,21E+18;5;3;15;0;2021;11;17;7;2;5;2;2;1;0;0;0;1;0;1;354150,8027;5655495,387;6,919928402;51,03247798
157670;5,21E+18;5;3;15;0;2021;11;17;6;3;3;6;1;0;1;1;0;0;0;0;355180,1602;5644086,405;6,939144588;50,93020925
157671;5,21E+18;5;3;15;0;2021;9;8;7;2;7;1;0;0;0;1;0;0;0;1;352453,2658;5647481,163;6,898991954;50,96002531
157672;5,21E+18;5;3;15;0;2021;6;16;5;3;1;5;0;0;1;1;0;0;0;0;354034,1034;5643519,305;6,923074114;50,92482402
157674;5,21E+18;5;3;15;0;2021;11;11;4;2;6;4;0;1;0;1;1;0;0;0;351790,2762;5645248,129;6,890467007;50,93978805
157676;5,21E+18;5;3;15;0;2021;7;11;3;3;5;3;0;1;1;1;0;0;0;0;352978,1298;5643125,338;6,908218329;50,92101546
