OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE,Participants
246107,5,3,15,0,2019,August,18,Mittwoch,Unfall mit Schwerverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"355261,4816","5642348,055",6.940990963,50.91460745,nass/feucht,,Rad
246108,5,3,15,0,2019,August,9,Mittwoch,Unfall mit Leichtverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,1,0,0,0,0,0,"355390,0528","5643207,739",6.942477899,50.92236551,trocken,,Rad
246152,5,3,15,0,2019,August,12,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Tageslicht,1,1,0,0,0,0,"363267,296","5639540,779",7.055858649,50.89132948,trocken,,"Rad, PKW"
246153,5,3,15,0,2019,August,1,Dienstag,Unfall mit Schwerverletzten,Unfall anderer Art,Fahrunfall,Dunkelheit,1,0,0,0,0,0,"352555,291","5649647,502",6.899565473,50.97951923,trocken,,Rad
246154,5,3,15,0,2019,August,6,Dienstag,Unfall mit Schwerverletzten,Zusammenstoß mit seitlich in gleicher Richtung fahrendem Fahrzeug,Abbiegeunfall,Tageslicht,0,0,0,1,1,0,"349158,1955","5645593,91",6.852888173,50.94221282,trocken,,"Krad, Gkfz"
246155,5,3,15,0,2019,August,8,Dienstag,Unfall mit Schwerverletzten,Unfall anderer Art,Fahrunfall,Tageslicht,0,0,0,0,0,1,"356716,6964","5642292,045",6.961700356,50.91446721,nass/feucht,,Sonstige
246156,5,3,15,0,2019,August,6,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dämmerung,1,1,0,0,0,0,"352350,7797","5643258,967",6.899244887,50.92205613,trocken,,"Rad, PKW"
246157,5,3,15,0,2019,August,15,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit entgegenkommendem Fahrzeug,Abbiegeunfall,Tageslicht,1,1,0,0,0,0,"356309,7616","5643073,875",6.9556074,50.92139226,trocken,,"Rad, PKW"
246195,5,3,15,0,2019,August,16,Mittwoch,Unfall mit Schwerverletzten,Unfall anderer Art,Sonstiger Unfall,Tageslicht,1,0,0,0,0,0,"349066,5786","5656729,886",6.84695781,51.04225862,nass/feucht,,Rad
246196,5,3,15,0,2019,August,9,Mittwoch,Unfall mit Leichtverletzten,Unfall anderer Art,Sonstiger Unfall,Tageslicht,1,0,0,0,0,0,"351482,8508","5646066,139",6.885760939,50.94705997,trocken,,Rad
