OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE
97568,5,3,15,0,2019,1,7,2,3,2,6,2,0,1,0,0,0,0,"357359,1733","5639199,763",6.972041889,50.88683598,1,
97569,5,3,15,0,2019,1,7,2,3,2,6,2,0,1,0,0,0,0,"352682,7339","5650744,534",6.900934941,50.9894103,1,
97570,5,3,15,0,2019,1,6,2,3,2,6,2,0,1,0,0,0,0,"351288,1863","5651279,899",6.880859882,50.9938627,0,
97590,5,3,15,0,2019,1,18,1,3,1,6,2,0,1,0,0,0,0,"359315,8364","5647721,541",6.996553898,50.96390205,0,
97591,5,3,15,0,2019,1,13,1,3,5,2,0,1,1,0,0,0,0,"347767,2799","5645209,529",6.833265292,50.93839315,0,
97630,5,3,15,0,2019,1,12,7,3,0,3,0,0,1,0,0,0,0,"365759,4601","5642901,863",7.090036245,50.9221223,0,
97631,5,3,15,0,2019,1,13,7,3,5,3,0,1,1,0,0,0,0,"348873,8278","5643012,085",6.849913873,50.91893738,0,
97721,5,3,15,0,2019,1,10,6,3,6,4,0,0,1,1,0,0,0,"361096,6821","5645734,206",7.022656574,50.94647358,1,
97724,5,3,15,0,2019,1,18,6,3,6,6,2,0,1,1,0,0,0,"354778,6733","5643179,645",6.933796363,50.92195948,1,
97726,5,3,15,0,2019,1,7,6,2,5,3,2,1,1,0,0,0,0,"355134,355","5641354,49",6.939578149,50.90564657,1,
97804,5,3,15,0,2019,1,22,3,3,9,1,2,0,0,0,0,1,0,"353896,0359","5639953,674",6.922538347,50.89274574,2,
97805,5,3,15,0,2019,1,18,3,3,2,6,2,0,1,0,0,0,0,"357080,857","5639590,355",6.96793488,50.89027745,1,
